title,link,published,retrieved_at,relevanceSource,author,abstract,category
Ponzi Funds,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4836527,2024-05-20 18:35:00,05/20/2024 18:35,Manual,"Philippe van der Beck, Jean-Philippe  Bouchaud, Dario Villamaina",,
A Profitable Day Trading Strategy For The U.S. Equity Market,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4729284,2024-03-15 11:15:00,06/07/2024 11:06,randomForestClassifier,"Carlo Zarattini, Andrea Barbon, Andrew Aziz","The validity of day trading as a long-term consistent and uncorrelated source of income for traders and investors is a matter of debate. In this paper, we endeavored to answer this question by conducting a thorough analysis of the profitability of Opening Range Breakout (ORB) strategies, with a particular focus on the 5-minute ORB. Using a large dataset that covered more than 7,000 US stocks traded from 2016 to 2023, the research aimed to assess how eﬀective this strategy was in producing consistent and uncorrelated returns. A new aspect of our study was the focus on Stocks in Play, which are stocks that show higher than normal trading activity on a specific day, mostly because of fundamental news about the company. Our results showed a significant benefit in limiting day trading only to those Stocks in Play (even after considering transaction costs). A portfolio that consisted of the top 20 Stocks in Play achieved a total net performance of over 1,600%, with a Sharpe ratio of 2.81, and an annualized alpha of 36%. Passive exposure in the S&amp;P 500 would have achieved a total return of 198% during the same period. Furthermore, this paper expanded the analysis to compare the return profile of the ORB strategy applied to diﬀerent time frames, such as 15, 30, and 60 minutes. In the last part of the paper, we presented detailed stock-specific statistics for the 25 best and worst performers of an ORB strategy over all the time frames. <br /><br />To the best of our knowledge, this is the first public paper with such intraday granularity and comprehensive stock-level database.",
Volatility Targeting Is Trendy: How Trend Following Explains Alpha in Volatility-Managed Strategies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4773781,2024-04-15 18:38:00,06/07/2024 16:32,Manual,"Benjamin Hood, Cameron Raughtigan","Why do volatility targeting/management strategies tend to outperform simple buy-and-hold positions in the same assets, as found by Moreira and Muir (2017) and Harvey et al (2018)? We test the hypothesis that this outperformance is mainly due to a loading on trend following that arises because of the negative correlation between return direction (trend) and magnitude (volatility), the so-called “leverage effect.” When controlling for trend exposure, alpha to volatility targeting is shown to mainly accrue to trend for both a long equity history and a set of 14 global equity index futures contracts. By contrast, this is not true for commodity, fixed income, or currency futures, where the leverage effect is not present. We further discuss the mechanical relationship between volatility targeting and trend following, creating a point of connection between these two seemingly different branches of research.",
Combining VPFs and Tax-Aware Strategies to Diversify Low-Basis Stock,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4750627,2024-04-05 15:35:00,06/07/2024 16:35,randomForestClassifier,"Joseph Liberman, Nathan Sosner","We illustrate how combining VPFs with tax-aware strategies can help diversify low-basis stock and thereby improve after-tax wealth accumulation. We find that direct-indexing strategies have limited ability to offset VPF settlement gains. Thus, in the context of a VPF transaction, direct indexing adds value only when managed at a very low cost. Tax-aware long-short factor strategies offer two advantages over direct indexing. First, they can outperform a passive index before tax. Second, they realize significantly higher net losses than direct-indexing strategies, allowing the investor to offset a larger fraction of the VPF settlement gain. As a result, long-run after-tax wealth outcomes are significantly better when a VPF is combined with tax-aware long-short factor strategies rather than with other alternatives, such as a direct-indexing strategy or a market index fund.",
Equity Premium Events,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4773692,2024-04-08 18:35:00,06/07/2024 16:31,Manual,"Benjamin Knox, Juan M. Londono, Mehrdad Samadi, Annette Vissing-Jorgensen","We develop a methodology to determine which days are “equity premium events”: events with significantly elevated equity premia relative to the daily equity term structure. To do so, we use recently available daily S&amp;P 500 option expirations and forward analogs of the Martin (2017) and Tetlock (2023) measures of the equity premium. We use a data-driven approach to identify events that are significantly priced by equity markets without taking a stance on what those events are. Important events include a variety of economic and political events. In the cross-section of macroeconomic releases, FOMC, CPI, and nonfarm payrolls have the largest abnormal equity premia, which increase substantially between June 2022 and June 2023. However, the elevated equity premia on macroeconomic release days are quantitatively far from explaining the large realized excess returns documented in previous work, suggesting a role for unexpectedly good news. To provide intuition for the variation in event equity premia across announcement types and time, we propose an asset pricing framework that decomposes the equity premium for a given macroeconomic release into components due to news variance and the sensitivities of the stock market and the SDF to the news released.",
Levering Up to Do Good: Direct Long-Short Investing and Charitable Giving,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4804911,2024-04-25 18:08:00,06/07/2024 16:35,Manual,"Stanley Krasner, Joseph Liberman, Nathan Sosner, Sydney Brenner","We use historical strategy simulations to evaluate the advantages of donating appreciated stock in the context of tax-aware long-short factor strategies. Our main findings are as follows. First, long-short strategies have a higher donation capacity than long-only investments, and their donation capacity increases with leverage. Second, long-short strategies have a higher donation efficiency than long-only investments. Similar to donation capacity, donation efficiency increases with leverage. Third, long-short strategies receive a larger loss-realization boost from donation of appreciated stocks than long-only investments, which also increases with leverage. Fourth, by removing appreciated positions from the strategy portfolio, higher donation targets reduce the tax costs of modifying the long-short strategy, for example, transitioning it to a long-only portfolio. Finally, when stock donations are done without replenishment, long-short portfolios offer pre-tax and after-tax performance that is far superior to that of long-only investment. Here too, pre-tax and after-tax value achieved with long-short investments increases with leverage.",
Most claimed statistical findings in cross-sectional return predictability are likely true,https://arxiv.org/abs/2206.15365,,06/11/2024 09:02,Manual,Andrew Y. Chen,"I develop simple and intuitive bounds for the false discovery rate (FDR) in cross-sectional return predictability publications. The bounds can be calculated by plugging in summary statistics from previous papers and reliably bound the FDR in simulations that closely mimic cross-predictor correlations. Most bounds find that at least 75% of findings are true. The tightest bound finds that at least 91% of findings are true. Surprisingly, the estimates in Harvey, Liu, and Zhu (2016) imply a similar FDR. I explain how Harvey et al.'s conclusion that most findings are false stems from misinterpreting ``insignificant factor'' as ``false discovery.''",q-fin.GN
Forecasting International Stock Market Variances,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4831547,2024-05-17 15:01:00,06/07/2024 16:32,Manual,"Geert Bekaert, Nancy R. Xu, Tiange Ye","We examine 320 different forecasting models for international monthly stock return volatilities, using high frequency realized variances and the implied option variance as the predictor variables. We evaluate linear and non-linear models, and logarithmic transformed and weighted least squares estimation approaches. A logarithmically transformed Corsi (2009) model combined with the option implied variance (“lm4 log”) is robustly, across countries and time, among the best forecasting models. It also survives tests using panel models and international variables. When alternative models (such as models including negative returns) have better performance, the forecasts they generate are extremely highly correlated with those of the “lm4 log” model.",
Sensitivity Assessing to Data Volume for forecasting: introducing similarity methods as a suitable one in Feature selection methods,https://arxiv.org/abs/2406.04390,,06/10/2024 09:02,Manual,Mahdi Goldani Soraya Asadi Tirvan,"In predictive modeling, overfitting poses a significant risk, particularly when the feature count surpasses the number of observations, a common scenario in high-dimensional data sets. To mitigate this risk, feature selection is employed to enhance model generalizability by reducing the dimensionality of the data. This study focuses on evaluating the stability of feature selection techniques with respect to varying data volumes, particularly employing time series similarity methods. Utilizing a comprehensive dataset that includes the closing, opening, high, and low prices of stocks from 100 high-income companies listed in the Fortune Global 500, this research compares several feature selection methods including variance thresholds, edit distance, and Hausdorff distance metrics. The aim is to identify methods that show minimal sensitivity to the quantity of data, ensuring robustness and reliability in predictions, which is crucial for financial forecasting. Results indicate that among the tested feature selection strategies, the variance method, edit distance, and Hausdorff methods exhibit the least sensitivity to changes in data volume. These methods therefore provide a dependable approach to reducing feature space without significantly compromising the predictive accuracy. This study not only highlights the effectiveness of time series similarity methods in feature selection but also underlines their potential in applications involving fluctuating datasets, such as financial markets or dynamic economic conditions. The findings advocate for their use as principal methods for robust feature selection in predictive analytics frameworks.","econ.GN, q-fin.EC"
Earnings Management and Economic Conditions,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4850552,2024-06-04 17:43:00,06/07/2024 16:32,Manual,"Stephen A. Hillegeist, An-Ping Lin","We examine whether economic conditions are associated with firms' earnings management decisions as well as the strength of incentives to manage earnings. We expect economic conditions affect both the benefits and costs of engaging in earnings management, and thus, potentially explain time-series variation in earnings management. We find incomeincreasing earnings management activities are negatively associated with real GDP growth, especially during periods when economic conditions are worsening (i.e., declining economic growth rates). Our counter-cyclical earnings management results are robust to using multiple measures of earnings management and economic conditions. In addition, we find earnings management incentives related to earnings smoothing, equity financing, market reactions to earnings surprises, and CEO turnover vary with economic conditions in ways that are consistent with how earnings management varies with economic conditions. Overall, firms' earnings management activities vary counter-cyclically with economic growth, as do their internal and external incentives to manage earnings.",
Mosaics of Predictability,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4853767,2024-06-06 21:05:00,06/07/2024 16:34,Manual,"Lin William Cong, Guanhao Feng, Jingyu He, Yuanzhi Wang","Existing studies on asset return predictability focus on aggregate performance. We examine the often-overlooked heterogeneity in return predictability across different assets and macroeconomic regimes. A novel tree-based asset clustering methodology is introduced to partition the panel of asset-return observations according to return predictability, using high-dimensional asset characteristics and aggregate time-series predictors. When implemented on U.S. equities over the past five decades, we find that some characteristics-managed (unexpected earnings, earnings-to-price, and cashflow-to-price) and/or macro-based (term spread and net equity issuance) clusters are more predictable, resulting in a heterogeneous predictive model with outperformance. Finally, it is revealed that less predictable clusters exhibit lower risk-adjusted investment performance, highlighting the empirical link between return predictability and trading profitability.",
One Factor to Bind the Cross-Section of Returns,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4791496,2024-04-16 17:52:00,06/07/2024 16:34,Manual,"Nicola Borri, Denis Chetverikov, Yukun Liu, Aleh Tsyvinski","We propose a new non-linear single-factor asset pricing model. Despite its parsimony, this model represents exactly any non-linear model with an arbitrary number of factors and loadings – a consequence of the Kolmogorov-Arnold representation theorem. It features only one pricing component, comprising a nonparametric link function of the time-dependent factor and factor loading that we jointly estimate with sieve-based estimators. Using 171 assets across major classes, our model delivers superior cross-sectional performance with a low-dimensional approximation of the link function. Most known finance and macro factors become insignificant controlling for our single-factor.",
The Pre-FOMC Drift and the Secular Decline in Long-Term Interest Rates,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4764451,2024-04-12 16:59:00,06/07/2024 11:03,Manual,"Qing Peng, Jun Pan","We document positive and significant returns on long-term U.S. Treasury bonds on the day before the FOMC announcements and attribute this pre-FOMC drift to the premium for heightened uncertainty. Unlike the pre-FOMC drift in U.S. equity, which is realized mostly on the day of the FOMC announcement, the pre-FOMC drift in long-term bond occurs earlier. On the day before the FOMC announcement, the 10-year bond yield drops by a significant 0.68 bps and contributes importantly to the secular decline in interest rates documented by Hillenbrand (2021). Unique to the day before the FOMC is a severe disconnect between the long- and short-term yields – an indication that the pre-FOMC pricing of long-term bonds is dominated by the risk-premium channel, not the monetary-policy decision on the target rate. We further capture the pre-FOMC heightened uncertainty using the ex-ante Macro Attention Index (MAI) of Fisher et al. (2022). Conditioning on above-median MAI on unemployment rates, the pre-FOMC reduction in 10-year yield increase significantly to 1.50 bps and is predictive of the subsequent pre-FOMC drift in equity. We further find a strong and positive relation between the pre-FOMC reduction in 10-year yield and the ratio of dissent among the FOMC committee.",
Optimization of the Generalized Covariance Estimator in Noncausal Processes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4804375,2024-04-25 19:51:00,06/07/2024 16:39,Manual,"Gianluca Cubadda, Francesco Giancaterini, Alain Hecq, Joann Jasiak","This paper investigates the performance of routinely used optimization algorithms in application to the Generalized Covariance estimator (GCov) for univariate and multivariate mixed causal and noncausal models. The GCov is a semi-parametric estimator with an objective function based on nonlinear autocovariances to identify causal and noncausal orders. When the number and type of nonlinear autocovariances included in the objective function are insufficient/inadequate, or the error density is too close to the Gaussian, identification issues can arise. These issues result in local minima in the objective function, which correspond to parameter values associated with incorrect causal and noncausal orders. Then, depending on the starting point and the optimization algorithm employed, the algorithm can converge to a local minimum. The paper proposes the Simulated Annealing (SA) optimization algorithm as an alternative to conventional numerical optimization methods. The results demonstrate that SA performs well in its application to mixed causal and noncausal models, successfully eliminating the effects of local minima. The proposed approach is illustrated by an empirical study of a bivariate series of commodity prices.",
Model Aggregation for Risk Evaluation and Robust Optimization,https://arxiv.org/abs/2201.06370,,06/11/2024 09:02,Manual,"Tiantian Mao, Ruodu Wang, Qinyu Wu","We introduce a new approach for prudent risk evaluation based on stochastic dominance, which will be called the model aggregation (MA) approach. In contrast to the classic worst-case risk (WR) approach, the MA approach produces not only a robust value of risk evaluation but also a robust distributional model, independent of any specific risk measure. The MA risk evaluation can be computed through explicit formulas in the lattice theory of stochastic dominance, and under some standard assumptions, the MA robust optimization admits a convex-program reformulation. The MA approach for Wasserstein and mean-variance uncertainty sets admits explicit formulas for the obtained robust models. Via an equivalence property between the MA and the WR approaches, new axiomatic characterizations are obtained for the Value-at-Risk (VaR) and the Expected Shortfall (ES, also known as CVaR). The new approach is illustrated with various risk measures and examples from portfolio optimization.",q-fin.RM
Equity Premium Income ETFs: How much income do you get to keep after taxes?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4814195,2024-05-01 19:40:00,06/07/2024 16:32,Manual,"Paul Bouchey, Benjamin Hood, Michael Zaslavsky","Equity premium income ETFs focus on dividends and call writing to enhance the cash flows produced by the portfolio. However, not all equity premium income ETFs are taxed the same and many of these funds were designed with nontaxable retirement accounts in mind. Taxable investors should understand how the fund is structured and how the distributions are taxed before investing in these funds. The good news is that fund managers have tools at their disposal that can make these funds more tax efficient.",
“Safe” Annuity Retirement Products and a Possible US Retirement Crisis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4763269,2024-04-12 16:51:00,06/07/2024 16:31,randomForestClassifier,"Thomas E. Lambert, Christopher B. Tobe","[entAbstract<br />	This paper examines a looming possible crisis in many Americans’ retirement plans due to the proliferation of annuity products in their retirement investment portfolios.  As defined benefit pension plans have almost completely disappeared as a means of retirement savings and have been replaced by defined contribution retirement plans over the last 40 to 50 years, a great number of private and public sector defined contribution retirement plans have become laden with insurance contracts called annuities.  Of the remaining solid defined benefit plans many, through a process called Pension Risk Transfer are being converted to high-risk single entity annuities.  Such products have been sold to employers and employees as “safe” and “guaranteed’ financial instruments that that are just as good as a defined retirement benefit plan backed by Federal PBGC (Pension Benefit Guarantee Corporation) insurance.  The results of the analysis in this paper calls this into question, and with so many of these annuities having ties to investments and loans related to risky assets, the authors find that many annuity products are exposed to systemic risk that could lead to a bust in the pensions of many retirees and soon-to-be retirees.   The “Emperor has no Clothes” as the life insurance industry has poured billions of dollars into advertising, lobbying, commissions &amp; trade articles with misinformation on annuities with everyone afraid to call out the obvious fiduciary problems.   To invest in annuities one must look the other way at one of most basic investment principals -diversification, i.e., “do not put your eggs in one basket.”   Excessive monopolistic profits through secret spread fees have remained hidden with no US Federal regulation or oversight.  This paper shows the drawbacks, weaknesses, and pitfalls of annuities as investments for retirement plans as well as the injustices of such plans toward lower income workers.  <br />Keywords: annuities, financialization, monopoly capital, pensions, retirement, risky assets, systemic risk.",
Can market volumes reveal traders' rationality and a new risk premium?,https://arxiv.org/abs/2406.05854,,06/11/2024 09:02,Manual,"Francesca Mariani, Maria Cristina Recchioni, Tai-Ho Wang, Roberto Giacalone","An empirical analysis, suggested by optimal Merton dynamics, reveals some unexpected features of asset volumes. These features are connected to traders' belief and risk aversion. This paper proposes a trading strategy model in the optimal Merton framework that is representative of the collective behavior of heterogeneous rational traders. This model allows for the estimation of the average risk aversion of traders acting on a specific risky asset, while revealing the existence of a price of risk closely related to market price of risk and volume rate. The empirical analysis, conducted on real data, confirms the validity of the proposed model.",q-fin.TR
"Will Southeast Asia be the next global manufacturing hub? A multiway cointegration, causality, and dynamic connectedness analyses on factors influencing offshore decisions",https://arxiv.org/abs/2406.07525,,06/12/2024 09:24,randomForestClassifier,"Haibo Wang, Lutfu S. Sua, Jun Huang, Jaime Ortiz, Bahram Alidaee","The COVID-19 pandemic has compelled multinational corporations to diversify their global supply chain risk and to relocate their factories to Southeast Asian countries beyond China. Such recent phenomena provide a good opportunity to understand the factors that influenced offshore decisions in the last two decades. We propose a new conceptual framework based on econometric approaches to examine the relationships between these factors. Firstly, the Vector Auto Regression (VAR) for multi-way cointegration analysis by a Johansen test as well as the embedding Granger causality analysis to examine offshore decisions--innovation, technology readiness, infrastructure, foreign direct investment (FDI), and intermediate imports. Secondly, a Quantile Vector Autoregressive (QVAR) model is used to assess the dynamic connectedness among Southeast Asian countries based on the offshore factors. This study explores a system-wide experiment to evaluate the spillover effects of offshore decisions. It reports a comprehensive analysis using time-series data collected from the World Bank. The results of the cointegration, causality, and dynamic connectedness analyses show that a subset of Southeast Asian countries have spillover effects on each other. These countries present a multi-way cointegration and dynamic connectedness relationship. The study contributes to policymaking by providing a data-driven innovative approach through a new conceptual framework.","econ.GN, q-fin.EC, stat.AP"
"Creative Destruction, Stock Return Volatility, and the Number of Listed Firms",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4854349,2024-06-05 11:58:00,06/07/2024 16:33,Manual,"S&ouml;hnke M. Bartram, Gregory W. Brown, Ren&eacute; M. Stulz","Average idiosyncratic volatility and firm idiosyncratic volatility increase with the number of listed firms. Average industry idiosyncratic volatility increases with the number of listed firms in the industry. We explain the relation between idiosyncratic volatility and the number of listed firms through Schumpeterian creative destruction. We show that Schumpeterian creative destruction increases as the number of listed firms increases. However, there is no consistent evidence of an incremental effect of the number of non-listed firms on idiosyncratic volatility either in the aggregate or at the industry level, suggesting that listed firms play a unique role in the dynamism of the economy.",
Mixing Financial Stress with GPT-4 News Sentiment Analysis for Optimal Risk-On/Risk-Off Decisions,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4781752,2024-04-15 20:06:00,06/07/2024 11:04,Manual,"Baptiste Lefort, Eric Benhamou, Jean-Jacques Ohana, David Saltiel, Beatrice Guez, Thomas Jacquot","This paper introduces a new risk-on risk-off strategy for the stock market, which combines a financial stress indicator with a sentiment analysis done by ChatGPT reading and interpreting Bloomberg daily market summaries. Forecasts of market stress derived from volatility and credit spreads are enhanced when combined with the financial news sentiment derived from GPT4. As a result, the strategy shows improved performance, evidenced by higher Sharpe ratio and reduced maximum drawdowns. The improved performance is consistent across the NASDAQ, the S&amp;P 500 and the six major equity markets, indicating that the method generalises across equities markets.",
Passive Investing and the Rise of Mega-Firms,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4851266,2024-06-03 20:03:00,06/07/2024 16:32,Manual,"Hao Jiang, Dimitri  Vayanos, Lu Zheng","We study how passive investing affects asset prices. Flows into passive funds raise disproportionately the stock prices of the economy's largest firms, and especially those large firms that the market overvalues. These effects are sufficiently strong to cause the aggregate market to rise even when flows are entirely due to investors switching from active to passive. Our results arise because flows create idiosyncratic volatility for large firms, which discourages investors from correcting the flows' effects on prices. Consistent with our theory, the largest firms in the S&amp;P500 experience the highest returns and increases in volatility following flows into that index.",
Better Opt Out: Revisiting the Predictive Power of Options-implied Signals,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4766424,2024-04-26 16:33:00,06/07/2024 11:05,Manual,"Iman Honarvar, Clint Howard","This study critically examines the assumption that options-implied signals robustly predict stock returns. We revisit thirteen such signals, as suggested by prior research, for their ability to forecast monthly cross-sectional stock returns. Although these signals robustly predict returns from 1996 to 2008, we find a marked decline in performance thereafter. Furthermore, we identify a look-ahead bias in the construction of these signals, arising from the use of non-synchronous options and stock price data. Correcting for this bias by lagging the options data substantially reduces the signals' predictive ability, even before 2008. These findings question the efficacy of options-implied implication in forecasting monthly stock returns and the robustness of trading strategies predicated on this information.",
Are the Hedges of Funds Green?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4773780,2024-04-15 18:38:00,06/07/2024 16:30,randomForestClassifier,"Tianyi Qu, Bing Liang, Mila Getmansky Sherman, Huan Kuang","Hedge funds have become greener over the past decade. In this study, we construct a return-based method to measure hedge fund greenness and find that funds with higher green beta not only outperform other funds but also exhibit lower risk. This outperformance is driven by fund managers’ superior investment skill in both green stock picking and green factor timing. Furthermore, we document that investors reward green funds with higher inflows after the 2015 Paris Agreement, but only within high-performance funds. Finally, we show that political beliefs, climate news sentiment, and participation in the United Nations Principles for Responsible Investment (PRI) all influence hedge funds’ exposure to sustainable investing and investor flows.",
What Hundreds of Economic News Events Say About Belief Overreaction in the Stock Market,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4787392,2024-04-08 12:46:00,06/07/2024 16:38,randomForestClassifier,"Francesco Bianchi, Sydney C. Ludvigson, Sai Ma","We measure the nature and severity of a variety of belief distortions in market reactions to hundreds of economic news events using a new methodology that synthesizes estimation of a structural asset pricing model with algorithmic machine learning to quantify bias. We estimate that investors systematically overreact to perceptions about multiple fundamental shocks in a macro-dynamic system, generating asymmetric compositional effects when several counteracting shocks occur simultaneously in real-world events. We show that belief overreaction to all shocks can lead the market to over- or underreact to events, amplifying or dampening volatility.<br /><br />Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at <a href=""http://www.nber.org/papers/&#119;32301"" target=""_blank"">www.nber.org</a>.<br />",
Predicting Individual Corporate Bond Returns,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4753422,2024-04-06 13:01:00,06/07/2024 16:34,randomForestClassifier,"Guanhao Feng, Xin He, Yanchu Wang, Chunchi Wu","This paper documents substantial evidence of return predictability and investment gains for individual corporate bonds via machine learning. The forecast-implied long-short and market-timing strategies deliver significant risk-adjusted returns over transaction costs. Random Forest has the best performance as the ensemble of regression trees helps reduce overfitting. Using a long-span sample from 1976 to 2020, we can evaluate return predictability over business cycles and find aggregate predictors (e.g., corporate bond market return and TERM factor) that show nonnegligible forecasting power orthogonal to bond characteristics. Finally, we find return predictability differs between bonds issued by private and public firms, with higher investment gains in private bonds.",
A Multi-step Approach for Minimizing Risk in Decentralized Exchanges,https://arxiv.org/abs/2406.07200,,06/12/2024 09:24,randomForestClassifier,"Daniele Maria Di Nosse, Federico Gatta","Decentralized Exchanges are becoming even more predominant in today's finance. Driven by the need to study this phenomenon from an academic perspective, the SIAG/FME Code Quest 2023 was announced. Specifically, participating teams were asked to implement, in Python, the basic functions of an Automated Market Maker and a liquidity provision strategy in an Automated Market Maker to minimize the Conditional Value at Risk, a critical measure of investment risk. As the competition's winning team, we highlight our approach in this work. In particular, as the dependence of the final return on the initial wealth distribution is highly non-linear, we cannot use standard ad-hoc approaches. Additionally, classical minimization techniques would require a significant computational load due to the cost of the target function. For these reasons, we propose a three-step approach. In the first step, the target function is approximated by a Kernel Ridge Regression. Then, the approximating function is minimized. In the final step, the previously discovered minimum is utilized as the starting point for directly optimizing the desired target function. By using this procedure, we can both reduce the computational complexity and increase the accuracy of the solution. Finally, the overall computational load is further reduced thanks to an algorithmic trick concerning the returns simulation and the usage of Cython.","q-fin.PM, q-fin.RM"
Dynamic Asset Pricing in a Unified Bachelier-Black-Scholes-Merton Model,https://arxiv.org/abs/2405.12479,,06/11/2024 09:02,Manual,"W. Brent Lindquist, Svetlozar T. Rachev, Jagdish Gnawali, Frank J. Fabozzi","We present a unified, market-complete model that integrates both the Bachelier and Black-Scholes-Merton frameworks for asset pricing. The model allows for the study, within a unified framework, of asset pricing in a natural world that experiences the possibility of negative security prices or riskless rates. In contrast to classical Black-Scholes-Merton, we show that option pricing in the unified model displays a difference depending on whether the replicating, self-financing portfolio uses riskless bonds or a single riskless bank account. We derive option price formulas and extend our analysis to the term structure of interest rates by deriving the pricing of zero-coupon bonds, forward contracts, and futures contracts. We identify a necessary condition for the unified model to support a perpetual derivative. Discrete binomial pricing under the unified model is also developed. In every scenario analyzed, we show that the unified model simplifies to the standard Black-Scholes-Merton pricing under specific limits and provides pricing in the Bachelier model limit. We note that the Bachelier limit within the unified model allows for positive riskless rates. The unified model prompts us to speculate on the possibility of a mixed multiplicative and additive deflator model for risk-neutral option pricing.","q-fin.MF, q-fin.PR"
Stress Index Strategy Enhanced With Financial News Sentiment Analysis for the Equity Markets,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4780225,2024-04-15 20:06:00,06/07/2024 11:04,Manual,"Baptiste Lefort, Eric Benhamou, Jean-Jacques Ohana, Beatrice Guez, David Saltiel, Thomas Jacquot","This paper introduces a new risk-on risk-off strategy for the stock market, which combines a financial stress indicator with a sentiment analysis done by ChatGPT reading and  interpreting Bloomberg daily market summaries. Forecasts of market stress derived from volatility  and credit spreads are enhanced when combined with the financial news sentiment derived from GPT4. As a result, the strategy shows improved performance, evidenced by higher Sharpe ratio and reduced maximum drawdowns. The improved performance is consistent across the NASDAQ, the S&amp;P 500 and the six major equity markets, indicating that the method generalises across equities markets.",
Biodiversity and Climate: Friends or Foes?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4778320,2024-04-15 19:05:00,06/07/2024 16:39,randomForestClassifier,"Eric Bouy&eacute;, Romain Deguest, Emmanuel Jurczenko, Jerome Teiletche","We present a portfolio optimization framework that allows incorporating biodiversity measures in investment decisions, alongside other sustainability objectives. Notably, our general approach can help investors tackle both biodiversity and climate objectives at once. By focusing on the tracking error variance minimization problem under both biodiversity and climate objectives, we show over a 21-year empirical exercise within a sovereign bond universe that investors can design portfolio strategies with enhanced biodiversity and climate content, without compromising on absolute risk-adjusted returns.  However, when measuring risk-adjusted returns relative to the market capitalization benchmark, we observe that adding a biodiversity objective to a portfolio with an existing climate objective slightly deteriorates its relative performance. This deterioration tends to decrease for more ambitious sustainable portfolios and completely dissipates when long-only constraints are removed. Our results remain robust to changes in the choice of sustainability measures or modeling set-ups.",
Causal Discovery in Financial Markets: A Framework for Nonstationary Time-Series Data,https://arxiv.org/abs/2312.17375,,06/10/2024 09:02,Manual,"Agathe Sadeghi, Achintya Gopal, Mohammad Fesanghary","This paper introduces a new causal structure learning method for nonstationary time series data, a common data type found in fields such as finance, economics, healthcare, and environmental science. Our work builds upon the constraint-based causal discovery from nonstationary data algorithm (CD-NOD). We introduce a refined version (CD-NOTS) which is designed specifically to account for lagged dependencies in time series data. We compare the performance of different algorithmic choices, such as the type of conditional independence test and the significance level, to help select the best hyperparameters given various scenarios of sample size, problem dimensionality, and availability of computational resources. Using the results from the simulated data, we apply CD-NOTS to a broad range of real-world financial applications in order to identify causal connections among nonstationary time series data, thereby illustrating applications in factor-based investing, portfolio diversification, and comprehension of market dynamics.",q-fin.ST
Deep Reinforcement Learning: Extending Traditional Financial Portfolio Methods,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4780026,2024-04-15 20:06:00,06/07/2024 11:04,Manual,"Eric Benhamou, Beatrice Guez, Jean-Jacques Ohana","Portfolio allocation, a key part of investment management, aims to balance risk and return. Traditional methodologies, rooted in modern portfolio theory, have been widely used for this purpose. Recently, deep reinforcement learning (DRL) has emerged as a powerful<br />tool to tackle these complex problems, allowing finding new solutions through a trial-and-error process. The central idea of this paper is to demonstrate that traditional portfolio allocation<br />strategies can be reframed in the DRL framework. It shows that a short-sighted agent, driven by immediate rewards and only considering the first two moments, converges to the Markowitz portfolio. By supplying this agent with more information, such as contextual data and additional future rewards, the DRL model can outperform traditional methods, though this comes with added complexity. Experiments confirm the usefulness of contextual data and show that DRL can improve traditional financial methods.",
Transaction Cost Optimization in a Fully Invested Portfolio with Target Weights,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4781258,2024-04-15 20:05:00,06/07/2024 16:36,randomForestClassifier,Valeriy Zakamulin,"This paper explores the optimization of transaction costs in a fully invested portfolio, where all available capital is committed to risky assets. The weights assigned to these assets are fixed based on a long-term strategic allocation. Unlike a passive portfolio, a fully invested portfolio is active, necessitating regular rebalancing to maintain the desired asset mix. Transaction costs pose a significant challenge to achieving optimal portfolio performance. Financial optimization models incorporating transaction costs fall within the domain of stochastic optimal control theory. However, the lack of analytical solutions and the intricate nature of numerical solution methods pose significant obstacles in applying these models in real-world applications. To overcome these challenges, we propose a practical model that balances theoretical and numerical simplicity while maintaining practical relevance. The central idea in our approach posits that the optimal rebalancing policy within a multi-period model can be effectively approximated by a policy derived from a single-period model. Through historical simulations, we illustrate the efficiency of our model, providing empirical support for our theoretical framework. In summary, our paper offers a practical and efficient approach to address the complexities of transaction cost optimization in a fully invested portfolio.",
